intertie-id,intertie-name,aea-energy-region,current
136-0000,Koyukuk_grid,Yukon-Koyukuk/Upper Tanana,TRUE
137-0000,Kwethluk_grid,Lower Yukon-Kuskokwim,TRUE
138-0000,Kwigillingok_grid,Lower Yukon-Kuskokwim,TRUE
139-0000,Larsen Bay_grid,Kodiak,TRUE
140-0000,Levelock_grid,Bristol Bay,TRUE
141-0000,Lime Village_grid,Lower Yukon-Kuskokwim,TRUE
142-0000,Manokotak_grid,Bristol Bay,TRUE
143-0000,McGrath_grid,Yukon-Koyukuk/Upper Tanana,TRUE
144-0000,Chuathbaluk_grid,Lower Yukon-Kuskokwim,TRUE
145-0000,Crooked Creek_grid,Lower Yukon-Kuskokwim,TRUE
146-0000,Red Devil_grid,Lower Yukon-Kuskokwim,TRUE
147-0000,Sleetmute_grid,Lower Yukon-Kuskokwim,TRUE
148-0000,Stony River_grid,Lower Yukon-Kuskokwim,TRUE
149-1980,Shungnak_grid,Northwest Arctic,TRUE
150-0000,Naknek_grid,Bristol Bay,TRUE
153-0000,Napaskiak_grid,Lower Yukon-Kuskokwim,TRUE
154-0000,Chefornak_grid,Lower Yukon-Kuskokwim,TRUE
155-0000,Perryville_grid,Bristol Bay,TRUE
156-0000,Nelson Lagoon_grid,Aleutians,TRUE
157-0000,Koliganek_grid,Bristol Bay,TRUE
158-0000,Nikolai_grid,Yukon-Koyukuk/Upper Tanana,TRUE
159-0000,Nome_grid,Bering Straits,TRUE
160-0000,Anaktuvuk Pass_grid,North Slope,TRUE
161-0000,Atqasuk_grid,North Slope,TRUE
162-0000,Kaktovik_grid,North Slope,TRUE
163-0000,Nuiqsut_grid,North Slope,TRUE
164-0000,Point Hope_grid,North Slope,TRUE
165-0000,Point Lay_grid,North Slope,TRUE
166-0000,Wainwright_grid,North Slope,TRUE
167-0000,Nunam Iqua_grid,Lower Yukon-Kuskokwim,TRUE
169-0000,Dillingham_grid,Bristol Bay,TRUE
170-0000,Ouzinkie_grid,Kodiak,TRUE
171-0000,Pedro Bay_grid,Bristol Bay,TRUE
172-0000,Pelican_grid,Southeast,TRUE
173-0000,Pilot Point_grid,Bristol Bay,TRUE
174-0000,Platinum_grid,Lower Yukon-Kuskokwim,TRUE
175-0000,Port Heiden_grid,Bristol Bay,TRUE
176-0000,Kongiganak_grid,Lower Yukon-Kuskokwim,TRUE
177-0000,Rampart_grid,Yukon-Koyukuk/Upper Tanana,TRUE
178-0000,Ruby_grid,Yukon-Koyukuk/Upper Tanana,TRUE
179-0000,Saint George_grid,Aleutians,TRUE
180-0000,Saint Paul_grid,Aleutians,TRUE
181-0000,Stevens Village_grid,Yukon-Koyukuk/Upper Tanana,TRUE
182-0000,Takotna_grid,Yukon-Koyukuk/Upper Tanana,TRUE
183-0000,Port Alsworth_grid,Bristol Bay,TRUE
184-0000,Tanana_grid,Yukon-Koyukuk/Upper Tanana,TRUE
185-0000,Tatitlek_grid,Copper River/Chugach,TRUE
186-0000,Adak_grid,Aleutians,TRUE
187-0000,Sand Point_grid,Aleutians,TRUE
188-0000,Manley Hot Springs_grid,Yukon-Koyukuk/Upper Tanana,TRUE
189-0000,Tenakee Springs_grid,Southeast,TRUE
190-0000,Tuluksak_grid,Lower Yukon-Kuskokwim,TRUE
191-0000,Tuntutuliak_grid,Lower Yukon-Kuskokwim,TRUE
193-0000,Nikolski_grid,Aleutians,TRUE
194-0000,Unalakleet_grid,Bering Straits,TRUE
195-0000,Unalaska_grid,Aleutians,TRUE
196-0000,Newtok_grid,Lower Yukon-Kuskokwim,TRUE
197-0000,Venetie_grid,Yukon-Koyukuk/Upper Tanana,TRUE
198-0000,WhiteMountain_grid,Bering Straits,TRUE
199-0000,Kobuk_grid,Northwest Arctic,FALSE
200-0000,Tununak_grid,Lower Yukon-Kuskokwim,FALSE
201-0000,Nightmute_grid,Lower Yukon-Kuskokwim,FALSE
202-0000,SaintMichael_grid,Bering Straits,FALSE
203-0000,PitkasPoint_grid,Lower Yukon-Kuskokwim,FALSE
204-0000,Nunapitchuk_grid,Lower Yukon-Kuskokwim,FALSE
205-0000,LowerKalskag_grid,Lower Yukon-Kuskokwim,FALSE
206-0000,Chistochina_grid,Copper River/Chugach,FALSE
207-0000,Coffman_Cove_grid,Southeast,FALSE
208-0000,Ekwok_grid,Southeast,FALSE
209-0000,Hollis_grid,Southeast,FALSE
210-0000,Hydaburg_grid,Southeast,FALSE
211-0000,Naukati_Bay_grid,Southeast,FALSE
212-0000,Tetlin_grid,Yukon-Koyukuk/Upper Tanana,FALSE
213-0000,Whale_Pass_grid,Southeast,TRUE
214-0000,Mentasta_Lake_grid,Copper River/Chugach,FALSE
215-1985,Railbelt_grid,Railbelt,TRUE
216-1982,CopperValley_grid,Copper River/Chugach,TRUE
217-2009,SEAPA_grid,Southeast,TRUE
218-0000,Alakanuk_grid,Lower Yukon-Kuskokwim,FALSE
219-0000,Sitka_grid,Southeast,TRUE
221-0000,Utqiagvik_grid,North Slope,TRUE
222-0000,Juneau_grid,Southeast,TRUE
223-0000,Kodiak_grid,Kodiak,TRUE
224_0000,Deadhorse_grid,North Slope,TRUE
225_0000,Metlakatla_grid,Southeast,TRUE
226_0000,Paxson_grid,Copper River/Chugach,TRUE
227-0000,Ketchikan_grid,Southeast,FALSE
228-1981,Wrangell-Petersburg_grid,Southeast,FALSE
