year,aea_energy_region,plant_name,total,ff-turbines,recip-ice,hydro,wind,utility-solar,batteries,flywheel,other,source,data_version
2021,Copper River/Chugach,Power Creek,6,0,0,6,0,0,0,0,,AEA PH Assessment,Early Release
2021,Kodiak,Port Lions Microgrid,0.5,0,0.5,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Bristol Bay,Port Heiden,0.702,0,0.702,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Bristol Bay,Port Alsworth,0.815,0,0.815,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,North Slope,Point Lay,2.4,0,2.4,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,North Slope,Point Hope,3.1,0,3.1,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Lower Yukon-Kuskokwim,Platinum,0.12,0,0.12,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Lower Yukon-Kuskokwim,Pilot Station,1.501,0,1.501,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Bristol Bay,Pilot Point,0.497,0,0.297,0,0.2,0,0,0,,AEA PH Assessment,Early Release
2021,Kodiak,Pillar Mountain Wind Project Microgrid,9,0,0,0,9,0,0,0,,AEA PH Assessment,Early Release
2021,Bristol Bay,Perryville,0.498,0,0.474,0,0.024,0,0,0,,AEA PH Assessment,Early Release
2021,Southeast,Pelican,2.4,0,1,1.4,0,0,0,0,,AEA PH Assessment,Early Release
2021,Bristol Bay,Pedro Bay,0.219,0,0.219,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Kodiak,Ouzinkie,0.461,0,0.336,0.125,0,0,0,0,,AEA PH Assessment,Early Release
2021,Copper River/Chugach,Orca,10.7,0,10.7,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Kodiak,Old Harbor,1,0,1,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Kodiak,Nymans Plant Microgrid,10,0,10,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Lower Yukon-Kuskokwim,Nunapitchuk,0.5,0,0.5,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Lower Yukon-Kuskokwim,Nunam Iqua,1.68,0,1.68,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Nulato,1.002,0,1.002,0,0,0,0,0,,EIA860,Early Release
2021,North Slope,Nuiqsut,4.4,0,4.4,0,0,0,0,0,,EIA860,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Northway,1.099,0,1.099,0,0,0,0,0,,EIA860,Early Release
2021,Railbelt,North Pole,181,181,0,0,0,0,0,0,,EIA860,Early Release
2021,Northwest Arctic,Noorvik,1.649,0,1.626,0,0,0.023,0,0,,AEA PH Assessment,Early Release
2021,Northwest Arctic,Noatak,1.252,0,1.252,0,0,0,0,0,,AEA,Early Release
2021,Aleutians,Nikolski,0.065,0,0,0,0.065,0,0,0,,AEA PH Assessment,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Nikolai,0.2,0,0.2,0,0,0,0,0,,EIA860,Early Release
2021,Railbelt,Nikiski Co-Generation,80.8,80.8,0,0,0,0,0,0,,EIA860,Early Release
2021,Lower Yukon-Kuskokwim,Nightmute,0.325,0,0.325,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Lower Yukon-Kuskokwim,Newtok,0.379,0,0.379,0,0,0,0,,,No data,Early Release
2021,Bristol Bay,Newhalen,1.7,0,0.9,0.8,0,0,0,0,,AEA,Early Release
2021,Bristol Bay,New Stuyahok,1.231,0,1.231,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Aleutians,Nelson Lagoon,0.15,0,0.15,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Southeast,Naukati Bay,0.32,0,0.32,0,0,0,0,0,,AEA,Early Release
2021,Lower Yukon-Kuskokwim,Napaskiak,0.567,0,0.567,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Lower Yukon-Kuskokwim,Napakiak,0.25,0,0.25,0,0,0,0,0,,AEA,Early Release
2021,Bristol Bay,Naknek,16.5,0,16.5,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Lower Yukon-Kuskokwim,Mountain Village,2.3,0,2.3,0,0,0,0,0,,EIA860,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Minto,0.708,0,0.708,0,0,0,0,0,,EIA860,Early Release
2021,Lower Yukon-Kuskokwim,Mekoryuk,0.903,0,0.703,0,0.2,0,0,0,,EIA860,Early Release
2021,#N/A,McRoberts Creek,0.125,0,0,0.125,0,0,0,0,,EIA860,Early Release
2021,Yukon-Koyukuk/Upper Tanana,McGrath,1.6,0,1.6,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Lower Yukon-Kuskokwim,Marshall,1.15,0,1.15,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Railbelt,Marathon Hydro,0.16,0,0,0.16,0,0,0,0,,EIA860,Early Release
2021,Bristol Bay,Manokotak,0.6,0,0.6,0,0,0,0,0,,EIA860,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Manley Hot Springs,0.236,0,0.236,0,0,0,0,0,,EIA860,Early Release
2021,Southeast,Lutak,1.785,0,1.5,0.285,0,0,0,0,,EIA860,Early Release
2021,Lower Yukon-Kuskokwim,Lime Village,0.012,0,0,0,0,0.012,0,0,,EIA860,Early Release
2021,Bristol Bay,Levelock,0.234,0,0.234,0,0,0,0,0,,EIA860,Early Release
2021,Southeast,Lemon Creek,61.7,37.2,24.5,0,0,0,0,0,,EIA860,Early Release
